bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,0.0,0.0
15.0,20.0,0.0,0.0
20.0,25.0,0.49850205660693403,3.078229067789757e-12
25.0,30.0,0.5594419505653364,3.4545303297095068e-12
30.0,35.0,0.4617348683201755,2.8511932386990075e-12
35.0,40.0,0.5253310330052963,3.243896859755563e-12
40.0,45.0,0.5851913587535531,3.6135318337411145e-12
45.0,50.0,0.5790726900578365,3.575749313918571e-12
50.0,55.0,0.8499471696158698,5.248387742681198e-12
55.0,60.0,0.7529135896040644,4.649209499411564e-12
60.0,65.0,0.7853996485331838,4.849809536198163e-12
65.0,70.0,0.7937223250466536,4.90120171086631e-12
70.0,75.0,0.5974287469186099,3.689097186911174e-12
75.0,80.0,0.8208755187229859,5.068871530779844e-12
80.0,85.0,0.9134746124643014,5.640667009309353e-12
85.0,90.0,0.8168948936200777,5.044291339510128e-12
90.0,95.0,1.4001462610585371,8.645843809117767e-12
95.0,100.0,1.3967481769551178,8.624860783825682e-12
100.0,105.0,1.8005753815372465,1.111847665367784e-11
105.0,110.0,3.1914306877327174,1.9706949210364517e-11
110.0,115.0,3.0882310568809874,1.906969586454041e-11
115.0,120.0,5.128010536564845,3.1665247684289067e-11
120.0,125.0,4.593695054547787,2.8365872232741282e-11
125.0,130.0,6.977626631668883,4.308654866538083e-11
130.0,135.0,5.676093138854965,3.5049634519927715e-11
135.0,140.0,7.737210586619435,4.777694738804674e-11
140.0,145.0,7.350836361752293,4.5391102928093856e-11
145.0,150.0,4.89667525493869,3.023676212666889e-11
150.0,155.0,6.577148048265906,4.0613610389360156e-11
155.0,160.0,4.13863364185905,2.5555887299675197e-11
160.0,165.0,4.42547238885302,2.7327104403121243e-11
165.0,170.0,9.657102919357655,5.963220115748378e-11
170.0,175.0,26.874127901154715,1.6594660058155417e-10
175.0,180.0,55.63588683659459,3.435492427821707e-10
180.0,185.0,147.4266706853494,9.103534419897881e-10
185.0,190.0,323.68447072847164,1.998737885597451e-09
190.0,195.0,161944430922.78384,0.9999999960406375
195.0,200.0,0.0,0.0
200.0,205.0,0.0,0.0
205.0,210.0,0.0,0.0
210.0,215.0,0.0,0.0
215.0,220.0,0.0,0.0
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
