input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_pn_3He_270.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,270.0,-20.57762124558692,916532133.5958498,he3;n;p
4He_p_pn_3He_275.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,275.0,-20.57762124558692,883520329.4056653,he3;n;p
4He_p_pn_3He_280.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,280.0,-20.57762124558692,852230880.369278,he3;n;p
4He_p_pn_3He_285.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,285.0,-20.57762124558692,822615943.2540873,he3;n;p
4He_p_pn_3He_290.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,290.0,-20.57762124558692,794484145.290053,he3;n;p
4He_p_pn_3He_295.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,295.0,-20.57762124558692,767787643.3946362,he3;n;p
4He_p_pn_3He_30.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,30.0,-20.57762124558692,74243071052.87105,he3;n;p
4He_p_pn_3He_300.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,300.0,-20.57762124558692,742382907.9171124,he3;n;p
4He_p_pn_3He_305.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,305.0,-20.57762124558692,718269938.8574674,he3;n;p
4He_p_pn_3He_310.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,310.0,-20.57762124558692,695257363.4504323,he3;n;p
4He_p_pn_3He_315.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,315.0,-20.57762124558692,673345181.6975473,he3;n;p
4He_p_pn_3He_320.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,320.0,-20.57762124558692,652485550.4101261,he3;n;p
4He_p_pn_3He_325.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,325.0,-20.57762124558692,632582783.1689159,he3;n;p
4He_p_pn_3He_330.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,330.0,-20.57762124558692,613541193.6666219,he3;n;p
4He_p_pn_3He_335.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,335.0,-20.57762124558692,595360781.8715627,he3;n;p
4He_p_pn_3He_340.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,340.0,-20.57762124558692,577993704.5952039,he3;n;p
4He_p_pn_3He_345.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,345.0,-20.57762124558692,561344275.4576691,he3;n;p
4He_p_pn_3He_35.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,35.0,-20.57762124558692,54546027572.12328,he3;n;p
4He_p_pn_3He_350.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,350.0,-20.57762124558692,545412494.4624959,he3;n;p
4He_p_pn_3He_355.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,355.0,-20.57762124558692,530150518.3914542,he3;n;p
4He_p_pn_3He_360.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,360.0,-20.57762124558692,515558347.2512288,he3;n;p
4He_p_pn_3He_365.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,365.0,-20.57762124558692,501492451.55654967,he3;n;p
4He_p_pn_3He_370.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,370.0,-20.57762124558692,488048517.6388115,he3;n;p
4He_p_pn_3He_375.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,375.0,-20.57762124558692,475111721.83986604,he3;n;p
4He_p_pn_3He_380.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,380.0,-20.57762124558692,462691632.8020685,he3;n;p
4He_p_pn_3He_385.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,385.0,-20.57762124558692,450749975.97522116,he3;n;p
4He_p_pn_3He_390.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,390.0,-20.57762124558692,439262829.7668158,he3;n;p
4He_p_pn_3He_395.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,395.0,-20.57762124558692,428211056.9030998,he3;n;p
4He_p_pn_3He_40.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,40.0,-20.57762124558692,41760890481.207214,he3;n;p
4He_p_pn_3He_400.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,400.0,-20.57762124558692,417570735.759918,he3;n;p
4He_p_pn_3He_45.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,45.0,-20.57762124558692,32996495504.04227,he3;n;p
4He_p_pn_3He_5.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,5.0,-20.57762124558692,2672712254153.871,he3;n;p
4He_p_pn_3He_50.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,50.0,-20.57762124558692,26727123152.713642,he3;n;p
4He_p_pn_3He_55.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,55.0,-20.57762124558692,22088246893.229992,he3;n;p
4He_p_pn_3He_60.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,60.0,-20.57762124558692,18560289628.38658,he3;n;p
4He_p_pn_3He_65.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,65.0,-20.57762124558692,15814568608.072664,he3;n;p
4He_p_pn_3He_70.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,70.0,-20.57762124558692,13636267886.372364,he3;n;p
4He_p_pn_3He_75.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,75.0,-20.57762124558692,11878508854.763765,he3;n;p
4He_p_pn_3He_80.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,80.0,-20.57762124558692,10440342370.799965,he3;n;p
4He_p_pn_3He_85.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,85.0,-20.57762124558692,9248089914.096245,he3;n;p
4He_p_pn_3He_90.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,90.0,-20.57762124558692,8249123969.500779,he3;n;p
4He_p_pn_3He_95.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,95.0,-20.57762124558692,7403734684.544547,he3;n;p
