E,sigma_mb,sigma_err_mb,proj
23.3,634,25,p
26.1,512,20,p
27.7,473,20,p
31,438,25,p
40,329,15,p
46,261,15,p
49,242,12,p
53,201,30,p
55,215,6,p
66,147,10,p
93,80,7,p
147,32.9,2.4,p
312,19.4,5,p
587,37,7.5,p
630,23,5,p
725,30,10,p
970,">30",5,p
1000,48.6,7,p
