E,proj,sigma_dHe3,sigma_dHe3_err_plus,sigma_dHe3_err_minus,sigma_h3,sigma_h3_err_plus,sigma_h3_err_minus,sigma_He3,sigma_He3_err_plus,sigma_He3_err_minus,sigma_dd,sigma_dd_err_plus,sigma_dd_err_minus,sigma_d,sigma_d_err_plus,sigma_d_err_minus, sigma_o, sigma_o_err_plus, sigma_o_err_minus, sigma_inelastic, sigma_inelastic_err_minus, sigma_inelastic_err_plus
24.0,n,47.0,5.0,5.0,,,,,,,,,,,,,,,47,5,5
26.1,p,,,,,,,,,,,,,,,,,,49,5,5
27.7,p,,,,,,,,,,,,,,,,,,64,6,6
28.0,p,8.9,1.0,1.0,4.8,3.3,1.1,,,,,,,,,,,,60,9,7
31.0,p,45.0,5.0,5.0,,,,,,,,,,,,,,,,,,
47.0,p,42.6,1.0,1.0,,,,,,,,,,,,,,,,,,
49.5,p,,,,,,,,,,,,,,,,,,,,,
53.0,p,34.0,5.0,5.0,17.0,3.0,3.0,49.0,8.0,8.0,5.1,2.0,2.0,10.0,4.0,4.0,0.5,0.3,0.3,115,14,12
55.0,p,40.0,6.0,6.0,,,,,,,,,,,,,,,105,15,15
90.0,n,16.5,4.0,4.0,17.0,3.0,3.0,46.0,8.0,8.0,8.0,2.0,2.0,16.5,4.0,4.0,0.8,0.5,0.5,,,
93.0,p,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,
156.0,p,2.93,0.1,0.1,,,,,,,,,,,,,,,,,,
300.0,,0.7,0.5,0.5,16.0,6.0,4.0,27.0,10.0,7.0,5.3,2.5,2.5,12.0,5.0,4.0,2.2,1.4,1.4,,,
630.0,p,36.0,10.0,10.0,38.0,9.0,9.0,,,,,,,,,,,,
970,p,,,,42,7,12,35.0,6.0,10.0,,,,,,,,,,,,
2200.0,p,30.0,3.6,3.6,29.0,3.6,3.6,,,,,,,,,,,,
