input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_2n_3p_280.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,280.0,-28.29561059421679,13636268005.986797,n;p
p_4He_2n_3p_285.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,285.0,-28.29561059421679,13162141940.793245,n;p
p_4He_2n_3p_290.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,290.0,-28.29561059421679,12711937473.141233,n;p
p_4He_2n_3p_295.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,295.0,-28.29561059421679,12284697739.11058,n;p
p_4He_2n_3p_30.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,30.0,-28.29561059421679,1187898692605.014,n;p
p_4He_2n_3p_300.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,300.0,-28.29561059421679,11878509010.920254,n;p
p_4He_2n_3p_305.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,305.0,-28.29561059421679,11492414424.646564,n;p
p_4He_2n_3p_310.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,310.0,-28.29561059421679,11124500252.512592,n;p
p_4He_2n_3p_315.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,315.0,-28.29561059421679,10774288062.538805,n;p
p_4He_2n_3p_320.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,320.0,-28.29561059421679,10440342558.890741,n;p
p_4He_2n_3p_325.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,325.0,-28.29561059421679,10121228445.734787,n;p
p_4He_2n_3p_330.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,330.0,-28.29561059421679,9816945723.039167,n;p
p_4He_2n_3p_335.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,335.0,-28.29561059421679,9526059094.992294,n;p
p_4He_2n_3p_340.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,340.0,-28.29561059421679,9248090129.58525,n;p
p_4He_2n_3p_345.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,345.0,-28.29561059421679,8982081962.956556,n;p
p_4He_2n_3p_35.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,35.0,-28.29561059421679,872707723001.3792,n;p
p_4He_2n_3p_350.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,350.0,-28.29561059421679,8727077731.225899,n;p
p_4He_2n_3p_355.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,355.0,-28.29561059421679,8483077434.351307,n;p
p_4He_2n_3p_360.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,360.0,-28.29561059421679,8249124208.433868,n;p
p_4He_2n_3p_365.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,365.0,-28.29561059421679,8024739621.560925,n;p
p_4He_2n_3p_370.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,370.0,-28.29561059421679,7808966809.814878,n;p
p_4He_2n_3p_375.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,375.0,-28.29561059421679,7602284205.096512,n;p
p_4He_2n_3p_380.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,380.0,-28.29561059421679,7403734943.576583,n;p
p_4He_2n_3p_385.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,385.0,-28.29561059421679,7212362161.30342,n;p
p_4He_2n_3p_390.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,390.0,-28.29561059421679,7028644290.280034,n;p
p_4He_2n_3p_395.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,395.0,-28.29561059421679,6852102898.489763,n;p
p_4He_2n_3p_40.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,40.0,-28.29561059421679,668178063767.0795,n;p
p_4He_2n_3p_400.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,400.0,-28.29561059421679,6681781122.092537,n;p
p_4He_2n_3p_45.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,45.0,-28.29561059421679,527949658804.59595,n;p
p_4He_2n_3p_5.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,5.0,-28.29561059421679,42763683127484.81,n;p
p_4He_2n_3p_50.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,50.0,-28.29561059421679,427636831549.2443,n;p
p_4He_2n_3p_55.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,55.0,-28.29561059421679,353417682925.2937,n;p
p_4He_2n_3p_60.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,60.0,-28.29561059421679,296967496978.90765,n;p
p_4He_2n_3p_65.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,65.0,-28.29561059421679,253037875203.5996,n;p
p_4He_2n_3p_70.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,70.0,-28.29561059421679,218179323229.6919,n;p
p_4He_2n_3p_75.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,75.0,-28.29561059421679,190061877453.02713,n;p
p_4He_2n_3p_80.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,80.0,-28.29561059421679,167044516279.99286,n;p
p_4He_2n_3p_85.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,85.0,-28.29561059421679,147969434387.36057,n;p
p_4He_2n_3p_90.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,90.0,-28.29561059421679,131985022900.89409,n;p
p_4He_2n_3p_95.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,95.0,-28.29561059421679,118459751644.13315,n;p
