input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_3He_ppn_p_280.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,280.0,-7.717989348629868,8727077725.423252,n;p
p_3He_ppn_p_285.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,285.0,-7.717989348629868,8423751865.8958025,n;p
p_3He_ppn_p_290.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,290.0,-7.717989348629868,8135735828.840075,n;p
p_3He_ppn_p_295.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,295.0,-7.717989348629868,7862072750.315757,n;p
p_3He_ppn_p_30.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,30.0,-7.717989348629868,760228371258.3062,n;p
p_3He_ppn_p_300.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,300.0,-7.717989348629868,7602284198.369068,n;p
p_3He_ppn_p_305.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,305.0,-7.717989348629868,7354934877.189509,n;p
p_3He_ppn_p_310.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,310.0,-7.717989348629868,7119546354.785929,n;p
p_3He_ppn_p_315.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,315.0,-7.717989348629868,6895640199.186692,n;p
p_3He_ppn_p_320.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,320.0,-7.717989348629868,6681781114.620745,n;p
p_3He_ppn_p_325.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,325.0,-7.717989348629868,6477490669.078845,n;p
p_3He_ppn_p_330.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,330.0,-7.717989348629868,6282768862.543224,n;p
p_3He_ppn_p_335.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,335.0,-7.717989348629868,6096658831.161095,n;p
p_3He_ppn_p_340.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,340.0,-7.717989348629868,5918682142.968269,n;p
p_3He_ppn_p_345.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,345.0,-7.717989348629868,5748360366.013933,n;p
p_3He_ppn_p_35.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,35.0,-7.717989348629868,558521460546.9755,n;p
p_3He_ppn_p_350.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,350.0,-7.717989348629868,5585215068.347463,n;p
p_3He_ppn_p_355.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,355.0,-7.717989348629868,5429246249.93362,n;p
p_3He_ppn_p_360.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,360.0,-7.717989348629868,5279497046.918414,n;p
p_3He_ppn_p_365.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,365.0,-7.717989348629868,5135489027.353639,n;p
p_3He_ppn_p_370.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,370.0,-7.717989348629868,4997700623.146508,n;p
p_3He_ppn_p_375.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,375.0,-7.717989348629868,4865653402.358652,n;p
p_3He_ppn_p_380.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,380.0,-7.717989348629868,4738246971.54082,n;p
p_3He_ppn_p_385.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,385.0,-7.717989348629868,4615959762.606327,n;p
p_3He_ppn_p_390.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,390.0,-7.717989348629868,4498361186.745806,n;p
p_3He_ppn_p_395.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,395.0,-7.717989348629868,4385212028.056004,n;p
p_3He_ppn_p_40.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,40.0,-7.717989348629868,427636831602.0498,n;p
p_3He_ppn_p_400.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,400.0,-7.717989348629868,4276273070.604411,n;p
