input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_2p_3H_285.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,285.0,-19.813814502830216,13162141940.793245,p;t
p_4He_2p_3H_290.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,290.0,-19.813814502830216,12711937473.141233,p;t
p_4He_2p_3H_295.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,295.0,-19.813814502830216,12284697739.11058,p;t
p_4He_2p_3H_30.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,30.0,-19.813814502830216,1187898692605.014,p;t
p_4He_2p_3H_300.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,300.0,-19.813814502830216,11878509010.920254,p;t
p_4He_2p_3H_305.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,305.0,-19.813814502830216,11492414424.646564,p;t
p_4He_2p_3H_310.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,310.0,-19.813814502830216,11124500252.512592,p;t
p_4He_2p_3H_315.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,315.0,-19.813814502830216,10774288062.538805,p;t
p_4He_2p_3H_320.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,320.0,-19.813814502830216,10440342558.890741,p;t
p_4He_2p_3H_325.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,325.0,-19.813814502830216,10121228445.734787,p;t
p_4He_2p_3H_330.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,330.0,-19.813814502830216,9816945723.039167,p;t
p_4He_2p_3H_335.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,335.0,-19.813814502830216,9526059094.992294,p;t
p_4He_2p_3H_340.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,340.0,-19.813814502830216,9248090129.58525,p;t
p_4He_2p_3H_345.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,345.0,-19.813814502830216,8982081962.956556,p;t
p_4He_2p_3H_35.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,35.0,-19.813814502830216,872707723001.3792,p;t
p_4He_2p_3H_350.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,350.0,-19.813814502830216,8727077731.225899,p;t
p_4He_2p_3H_355.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,355.0,-19.813814502830216,8483077434.351307,p;t
p_4He_2p_3H_360.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,360.0,-19.813814502830216,8249124208.433868,p;t
p_4He_2p_3H_365.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,365.0,-19.813814502830216,8024739621.560925,p;t
p_4He_2p_3H_370.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,370.0,-19.813814502830216,7808966809.814878,p;t
p_4He_2p_3H_375.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,375.0,-19.813814502830216,7602284205.096512,p;t
p_4He_2p_3H_380.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,380.0,-19.813814502830216,7403734943.576583,p;t
p_4He_2p_3H_385.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,385.0,-19.813814502830216,7212362161.30342,p;t
p_4He_2p_3H_390.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,390.0,-19.813814502830216,7028644290.280034,p;t
p_4He_2p_3H_395.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,395.0,-19.813814502830216,6852102898.489763,p;t
p_4He_2p_3H_40.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,40.0,-19.813814502830216,668178063767.0795,p;t
p_4He_2p_3H_400.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,400.0,-19.813814502830216,6681781122.092537,p;t
p_4He_2p_3H_45.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,45.0,-19.813814502830216,527949658804.59595,p;t
p_4He_2p_3H_5.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,5.0,-19.813814502830216,42763683127484.81,p;t
p_4He_2p_3H_50.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,50.0,-19.813814502830216,427636831549.2443,p;t
p_4He_2p_3H_55.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,55.0,-19.813814502830216,353417682925.2937,p;t
p_4He_2p_3H_60.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,60.0,-19.813814502830216,296967496978.90765,p;t
p_4He_2p_3H_65.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,65.0,-19.813814502830216,253037875203.5996,p;t
p_4He_2p_3H_70.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,70.0,-19.813814502830216,218179323229.6919,p;t
p_4He_2p_3H_75.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,75.0,-19.813814502830216,190061877453.02713,p;t
p_4He_2p_3H_80.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,80.0,-19.813814502830216,167044516279.99286,p;t
p_4He_2p_3H_85.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,85.0,-19.813814502830216,147969434387.36057,p;t
p_4He_2p_3H_90.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,90.0,-19.813814502830216,131985022900.89409,p;t
p_4He_2p_3H_95.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,95.0,-19.813814502830216,118459751644.13315,p;t
