input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
7Li_p_4He_4He_305.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,305.0,17.34545262438446,1350900555.428464,he4
7Li_p_4He_4He_310.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,310.0,17.34545262438446,1307650310.1412728,he4
7Li_p_4He_4He_315.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,315.0,17.34545262438446,1266457322.5855966,he4
7Li_p_4He_4He_320.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,320.0,17.34545262438446,1227178063.1948464,he4
7Li_p_4He_4He_325.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,325.0,17.34545262438446,1189716845.587418,he4
7Li_p_4He_4He_330.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,330.0,17.34545262438446,1153930139.9453511,he4
7Li_p_4He_4He_335.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,335.0,17.34545262438446,1119722260.3892853,he4
7Li_p_4He_4He_340.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,340.0,17.34545262438446,1087045363.489643,he4
7Li_p_4He_4He_345.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,345.0,17.34545262438446,1055755919.6781781,he4
7Li_p_4He_4He_35.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,35.0,17.34545262438446,102590164231.60149,he4
7Li_p_4He_4He_350.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,350.0,17.34545262438446,1025806085.7730176,he4
7Li_p_4He_4He_355.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,355.0,17.34545262438446,997100175.3961663,he4
7Li_p_4He_4He_360.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,360.0,17.34545262438446,969590345.3626832,he4
7Li_p_4He_4He_365.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,365.0,17.34545262438446,943228752.3713586,he4
7Li_p_4He_4He_370.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,370.0,17.34545262438446,917919710.1501361,he4
7Li_p_4He_4He_375.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,375.0,17.34545262438446,893567532.4549221,he4
7Li_p_4He_4He_380.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,380.0,17.34545262438446,870220062.3635632,he4
7Li_p_4He_4He_385.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,385.0,17.34545262438446,847733770.2999156,he4
7Li_p_4He_4He_390.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,390.0,17.34545262438446,826156499.4622161,he4
