source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
p_dpn_d_1,50.0,74.0,5.0,1.000
p_dpn_d_1,100.0,58.0,4.0,1.000
p_dpn_d_1,200.0,50.0,3.0,1.000
p_dpn_d_1,400.0,44.0,3.0,1.000
p_dpn_d_1,800.0,42.0,2.0,1.000
p_dpn_d_1,1000.0,41.0,2.0,1.000
