input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_p_2d_285.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,285.0,-23.846478507633616,822615943.2540873,d;p
4He_p_p_2d_290.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,290.0,-23.846478507633616,794484145.290053,d;p
4He_p_p_2d_295.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,295.0,-23.846478507633616,767787643.3946362,d;p
4He_p_p_2d_30.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,30.0,-23.846478507633616,74243071052.87105,d;p
4He_p_p_2d_300.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,300.0,-23.846478507633616,742382907.9171124,d;p
4He_p_p_2d_305.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,305.0,-23.846478507633616,718269938.8574674,d;p
4He_p_p_2d_310.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,310.0,-23.846478507633616,695257363.4504323,d;p
4He_p_p_2d_315.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,315.0,-23.846478507633616,673345181.6975473,d;p
4He_p_p_2d_320.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,320.0,-23.846478507633616,652485550.4101261,d;p
4He_p_p_2d_325.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,325.0,-23.846478507633616,632582783.1689159,d;p
4He_p_p_2d_330.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,330.0,-23.846478507633616,613541193.6666219,d;p
4He_p_p_2d_335.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,335.0,-23.846478507633616,595360781.8715627,d;p
4He_p_p_2d_340.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,340.0,-23.846478507633616,577993704.5952039,d;p
4He_p_p_2d_345.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,345.0,-23.846478507633616,561344275.4576691,d;p
4He_p_p_2d_35.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,35.0,-23.846478507633616,54546027572.12328,d;p
4He_p_p_2d_350.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,350.0,-23.846478507633616,545412494.4624959,d;p
4He_p_p_2d_355.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,355.0,-23.846478507633616,530150518.3914542,d;p
4He_p_p_2d_360.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,360.0,-23.846478507633616,515558347.2512288,d;p
4He_p_p_2d_365.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,365.0,-23.846478507633616,501492451.55654967,d;p
4He_p_p_2d_370.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,370.0,-23.846478507633616,488048517.6388115,d;p
4He_p_p_2d_375.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,375.0,-23.846478507633616,475111721.83986604,d;p
4He_p_p_2d_380.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,380.0,-23.846478507633616,462691632.8020685,d;p
4He_p_p_2d_385.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,385.0,-23.846478507633616,450749975.97522116,d;p
4He_p_p_2d_390.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,390.0,-23.846478507633616,439262829.7668158,d;p
4He_p_p_2d_395.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,395.0,-23.846478507633616,428211056.9030998,d;p
4He_p_p_2d_40.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,40.0,-23.846478507633616,41760890481.207214,d;p
4He_p_p_2d_400.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,400.0,-23.846478507633616,417570735.759918,d;p
4He_p_p_2d_45.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,45.0,-23.846478507633616,32996495504.04227,d;p
4He_p_p_2d_5.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,5.0,-23.846478507633616,2672712254153.871,d;p
4He_p_p_2d_50.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,50.0,-23.846478507633616,26727123152.713642,d;p
4He_p_p_2d_55.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,55.0,-23.846478507633616,22088246893.229992,d;p
4He_p_p_2d_60.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,60.0,-23.846478507633616,18560289628.38658,d;p
4He_p_p_2d_65.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,65.0,-23.846478507633616,15814568608.072664,d;p
4He_p_p_2d_70.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,70.0,-23.846478507633616,13636267886.372364,d;p
4He_p_p_2d_75.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,75.0,-23.846478507633616,11878508854.763765,d;p
4He_p_p_2d_80.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,80.0,-23.846478507633616,10440342370.799965,d;p
4He_p_p_2d_85.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,85.0,-23.846478507633616,9248089914.096245,d;p
4He_p_p_2d_90.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,90.0,-23.846478507633616,8249123969.500779,d;p
4He_p_p_2d_95.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,95.0,-23.846478507633616,7403734684.544547,d;p
