source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
p_dpn_p_1,50.0,108.0,5.0,1.000
p_dpn_p_1,100.0,86.0,4.0,1.000
p_dpn_p_1,200.0,72.0,3.0,1.000
p_dpn_p_1,400.0,62.0,2.0,1.000
p_dpn_p_1,800.0,58.0,2.0,1.000
p_dpn_p_1,1000.0,56.0,2.0,1.000
