input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_d_3He_315.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,315.0,-18.35305520229575,673345181.6975473,d
4He_p_d_3He_320.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,320.0,-18.35305520229575,652485550.4101261,d
4He_p_d_3He_325.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,325.0,-18.35305520229575,632582783.1689159,d
4He_p_d_3He_330.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,330.0,-18.35305520229575,613541193.6666219,d
4He_p_d_3He_335.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,335.0,-18.35305520229575,595360781.8715627,d
4He_p_d_3He_340.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,340.0,-18.35305520229575,577993704.5952039,d
4He_p_d_3He_345.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,345.0,-18.35305520229575,561344275.4576691,d
4He_p_d_3He_35.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,35.0,-18.35305520229575,54546027572.12328,d
4He_p_d_3He_350.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,350.0,-18.35305520229575,545412494.4624959,d
4He_p_d_3He_355.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,355.0,-18.35305520229575,530150518.3914542,d
4He_p_d_3He_360.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,360.0,-18.35305520229575,515558347.2512288,d
4He_p_d_3He_365.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,365.0,-18.35305520229575,501492451.55654967,d
4He_p_d_3He_370.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,370.0,-18.35305520229575,488048517.6388115,d
4He_p_d_3He_375.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,375.0,-18.35305520229575,475111721.83986604,d
4He_p_d_3He_380.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,380.0,-18.35305520229575,462691632.8020685,d
4He_p_d_3He_385.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,385.0,-18.35305520229575,450749975.97522116,d
4He_p_d_3He_390.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,390.0,-18.35305520229575,439262829.7668158,d
4He_p_d_3He_395.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,395.0,-18.35305520229575,428211056.9030998,d
4He_p_d_3He_40.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,40.0,-18.35305520229575,41760890481.207214,d
4He_p_d_3He_400.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,400.0,-18.35305520229575,417570735.759918,d
4He_p_d_3He_45.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,45.0,-18.35305520229575,32996495504.04227,d
4He_p_d_3He_5.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,5.0,-18.35305520229575,2672712254153.871,d
4He_p_d_3He_50.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,50.0,-18.35305520229575,26727123152.713642,d
4He_p_d_3He_55.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,55.0,-18.35305520229575,22088246893.229992,d
4He_p_d_3He_60.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,60.0,-18.35305520229575,18560289628.38658,d
4He_p_d_3He_65.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,65.0,-18.35305520229575,15814568608.072664,d
4He_p_d_3He_70.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,70.0,-18.35305520229575,13636267886.372364,d
4He_p_d_3He_75.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,75.0,-18.35305520229575,11878508854.763765,d
4He_p_d_3He_80.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,80.0,-18.35305520229575,10440342370.799965,d
4He_p_d_3He_85.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,85.0,-18.35305520229575,9248089914.096245,d
4He_p_d_3He_90.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,90.0,-18.35305520229575,8249123969.500779,d
4He_p_d_3He_95.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,95.0,-18.35305520229575,7403734684.544547,d
