source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
4He_4Hen_7Li_1,61.5,30.2,3.7,1.000
4He_4Hen_7Li_1,80.8,17.0,1.5,1.000
4He_4Hen_7Li_1,118.9,3.9,0.3,1.000
4He_4Hen_7Li_1,139.2,2.0,0.2,1.000
4He_4Hen_7Li_1,158.2,0.94,0.08,1.000
