# The column headers after mass number (A) are kT values (in keV). The reaction rates are in cm^3/(mol*s)
Element,A,5,10,15,20,25,30,40,50,60,80,100
H,1,72829.08048419884,62744.61250417854,57997.08858260016,55249.64726387498,53347.66757462011,52082.8709748085,50906.006371314645,51090.82117882399,51617.408838514144,54245.10822271362,57278.548343276336
He,3,,,,,,1272.4161188043936,,,,,
Li,7,6454.561178265733,6443.384440567247,6466.647511546623,6454.561178265733,6508.926742534635,6510.157047194057,6801.350242820983,7003.813840271511,7233.8768773233405,7846.721432401482,8489.904446784307
C,12,776.2867518373998,1089.1222745426667,1387.252796867052,1712.7596588158503,2025.1349383310915,2324.063421880666,2944.9866303633703,3565.3545106291704,4183.100741322187,5421.6852509278715,6612.685512917849
C,13,448.4208298870892,703.6601145401443,989.4788004096907,1474.2602626424848,2197.6974425301933,3159.7872175936504,5559.78362105793,7964.284668623343,9788.392434160382,12285.502188687375,13735.609015813709
C,14,226.70124857071184,225.28928347908075,222.85999172808803,232.82830934289322,232.9089146107894,225.12258772301277,225.28928347908075,232.50560882835913,233.47237228656846,227.92666072514814,227.42870485524145
N,14,11212.521213091963,8751.62216591814,7534.790196521071,6984.849280286796,6302.241218880183,6153.350731095683,5718.881811392051,5231.376198638081,4669.447445731368,4656.566186857864,4384.167804438389
N,15,152.83574798296925,302.59934265813206,444.728391608416,586.8892722546019,724.5123783897247,868.5374650745168,1123.9404155873478,1391.930125982404,1651.8483116884022,2127.473611922931,2651.988705803898
O,16,976.2364709176554,1898.3344287256193,2853.378845715008,3782.916324805916,4775.161805501444,5679.292902353657,7593.337714902477,9454.338023012593,11413.515382860032,15131.665299223663,18827.780833119978
O,18,225.0157140482698,438.6279460070431,642.5420973841241,851.4108099123723,1078.373765042555,1325.7961576712967,1857.718359559241,2500.0832849680637,3307.5117799772934,5424.703160298828,7968.814959835275
F,19,121461.53611180876,575438.0481145644,820472.4516729573,898815.367227385,896267.6296119147,862804.481860836,790153.7377095511,729780.6942106046,673208.1654752471,607307.6805590438,597511.7530746099
Ne,20,5337.623023965913,5318.288750253456,5568.03200301585,7278.576850862608,11392.7748325896,17680.226010428316,32767.52100962613,46417.37662949144,54419.63353890962,65992.43011448764,68627.90553917066
Ne,21,,,,205992.39469144345,216759.05758966325,222607.17259766237,222772.0057728566,229907.69925788447,,,
Ne,22,13375.666368915052,11383.86646318891,10797.445134901685,10652.114393344114,10014.744543658988,8746.832112394992,10099.971749295424,8421.235844907538,9225.00166865387,10652.114393344114,10826.750858009716
Na,23,84652.60259971993,444662.6179791858,356083.47826086957,326517.1814560626,297454.1018196774,311033.5226518719,290740.9425248523,286816.1079387922,293245.2173913043,314423.9525132455,324495.3838032843
Mg,24,6645.4997334229365,41010.13462583346,136031.3284906013,277902.7161249591,391758.0775484746,488342.5029806347,615152.0193875021,649551.9289276192,648764.7974167138,652467.246554252,567373.7674839977
Mg,25,289753.36168901814,426847.0144206314,575056.560958528,724383.4042225453,836881.4423673984,946330.5165255923,1058580.595763166,1088083.1918705963,1108290.8265746178,1062428.9928597333,971862.3201685918
Mg,26,6213.023683083398,7762.867518374,10238.880809684053,13270.536022119875,16050.839347977471,18617.09670588447,24397.58362917542,30710.837526339637,34477.86395097691,54529.83892725622,71486.93154981564
Al,26,603206.1828236309,597143.6552595383,585078.9034105174,567013.811854213,553012.1119891398,546692.522315655,528898.6660870197,495951.41346883884,480600.5278014964,458436.69894595933,431619.2093573774
Al,27,675127.3974867909,579684.4096979648,563796.1385496341,554568.9336498639,552632.6868247535,552223.5674738463,562634.8682362599,571859.0054035974,584677.4770144353,602792.3191846348,620026.9169253331
Si,28,17469.82511661879,73266.25760861812,198246.16183627798,301203.88132101373,377166.9180835168,427921.5743137367,477082.607684025,514344.7647310227,521700.4258849421,530118.8311249842,511869.38882763
Si,29,620110.9916257191,1226054.2711927744,1386897.8439716436,1360631.8845379853,1278912.4410936069,1165024.1316171845,987654.829571957,837692.989983363,709090.6269930205,553885.5459181179,457716.03154929075
Si,30,7461265.274899984,3659099.7532400005,2292841.8708651215,1564458.8479628998,1184018.4508463566,958031.475272878,646724.6075493953,494725.3265165838,396036.32314943,312891.76959258,258331.2983664777
P,31,48112.14343612628,153091.9029649713,208331.6922310304,228532.6813215998,242059.55234939698,256324.18902397688,289173.59448939015,323305.90728811757,395830.2152389577,457065.3626431996,511014.6105153936
S,32,78144.04884060525,255028.55466722188,385225.3944107438,480886.45440372464,551088.5857716104,603687.2992214632,680076.1457792585,722330.8336232773,749627.7945290148,793462.6497661454,779588.7310915465
S,33,378524.16867401695,934675.2608369454,1040671.5746605861,1117547.545609003,1101671.005192052,1089081.5725972627,1053633.930398011,1006998.7569663101,978231.2801809509,937297.9414785183,913580.833573897
S,34,22040.995413218363,21743.031902571136,22156.7149639877,24503.340949844936,28469.904020632363,33246.75050109684,42466.859184709254,49758.40277823071,55547.820613941,64621.55603439499,71174.76005158089
S,36,25204.000428580075,25459.88516582517,24945.49102645054,25204.000428580075,25495.22159527474,25135.754357384674,25459.88516582517,24669.68136972023,24945.49102645054,26404.19092517913,25226.85084164027
Cl,35,1560849.941546222,1893248.6916329006,1830042.1796454557,1692921.859677056,1570574.9573882665,1470494.5853235358,1341404.9025919205,1252944.2287221719,1206164.1638572323,1152627.6491418253,1100744.8419302378
Cl,36,2340371.46836815,2121657.0971520976,1974851.372927335,1920304.7945584822,1878595.2754412962,1763912.586483135,1663379.1641672447,1594040.9500434606,1538305.2799644503,1440228.5959188617,1395527.9188992486
