source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
4He_pp_4He_1,50.0,160.0,8.0,1.000
4He_pp_4He_1,100.0,130.0,6.0,1.000
4He_pp_4He_1,200.0,105.0,5.0,1.000
4He_pp_4He_1,400.0,90.0,4.0,1.000
4He_pp_4He_1,800.0,80.0,4.0,1.000
4He_pp_4He_1,1000.0,75.0,4.0,1.000
