input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_p_2d_285.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,285.0,-23.846478507633616,13162141940.793245,d;p
p_4He_p_2d_290.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,290.0,-23.846478507633616,12711937473.141233,d;p
p_4He_p_2d_295.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,295.0,-23.846478507633616,12284697739.11058,d;p
p_4He_p_2d_30.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,30.0,-23.846478507633616,1187898692605.014,d;p
p_4He_p_2d_300.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,300.0,-23.846478507633616,11878509010.920254,d;p
p_4He_p_2d_305.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,305.0,-23.846478507633616,11492414424.646564,d;p
p_4He_p_2d_310.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,310.0,-23.846478507633616,11124500252.512592,d;p
p_4He_p_2d_315.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,315.0,-23.846478507633616,10774288062.538805,d;p
p_4He_p_2d_320.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,320.0,-23.846478507633616,10440342558.890741,d;p
p_4He_p_2d_325.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,325.0,-23.846478507633616,10121228445.734787,d;p
p_4He_p_2d_330.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,330.0,-23.846478507633616,9816945723.039167,d;p
p_4He_p_2d_335.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,335.0,-23.846478507633616,9526059094.992294,d;p
p_4He_p_2d_340.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,340.0,-23.846478507633616,9248090129.58525,d;p
p_4He_p_2d_345.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,345.0,-23.846478507633616,8982081962.956556,d;p
p_4He_p_2d_35.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,35.0,-23.846478507633616,872707723001.3792,d;p
p_4He_p_2d_350.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,350.0,-23.846478507633616,8727077731.225899,d;p
p_4He_p_2d_355.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,355.0,-23.846478507633616,8483077434.351307,d;p
p_4He_p_2d_360.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,360.0,-23.846478507633616,8249124208.433868,d;p
p_4He_p_2d_365.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,365.0,-23.846478507633616,8024739621.560925,d;p
p_4He_p_2d_370.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,370.0,-23.846478507633616,7808966809.814878,d;p
p_4He_p_2d_375.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,375.0,-23.846478507633616,7602284205.096512,d;p
p_4He_p_2d_380.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,380.0,-23.846478507633616,7403734943.576583,d;p
p_4He_p_2d_385.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,385.0,-23.846478507633616,7212362161.30342,d;p
p_4He_p_2d_390.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,390.0,-23.846478507633616,7028644290.280034,d;p
p_4He_p_2d_395.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,395.0,-23.846478507633616,6852102898.489763,d;p
p_4He_p_2d_40.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,40.0,-23.846478507633616,668178063767.0795,d;p
p_4He_p_2d_400.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,400.0,-23.846478507633616,6681781122.092537,d;p
p_4He_p_2d_45.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,45.0,-23.846478507633616,527949658804.59595,d;p
p_4He_p_2d_5.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,5.0,-23.846478507633616,42763683127484.81,d;p
p_4He_p_2d_50.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,50.0,-23.846478507633616,427636831549.2443,d;p
p_4He_p_2d_55.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,55.0,-23.846478507633616,353417682925.2937,d;p
p_4He_p_2d_60.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,60.0,-23.846478507633616,296967496978.90765,d;p
p_4He_p_2d_65.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,65.0,-23.846478507633616,253037875203.5996,d;p
p_4He_p_2d_70.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,70.0,-23.846478507633616,218179323229.6919,d;p
p_4He_p_2d_75.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,75.0,-23.846478507633616,190061877453.02713,d;p
p_4He_p_2d_80.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,80.0,-23.846478507633616,167044516279.99286,d;p
p_4He_p_2d_85.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,85.0,-23.846478507633616,147969434387.36057,d;p
p_4He_p_2d_90.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,90.0,-23.846478507633616,131985022900.89409,d;p
p_4He_p_2d_95.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,95.0,-23.846478507633616,118459751644.13315,d;p
