input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2p_dn_275.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,275.0,-26.071044550925617,883520329.4056653,d;n;p
4He_p_2p_dn_280.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,280.0,-26.071044550925617,852230880.369278,d;n;p
4He_p_2p_dn_285.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,285.0,-26.071044550925617,822615943.2540873,d;n;p
4He_p_2p_dn_290.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,290.0,-26.071044550925617,794484145.290053,d;n;p
4He_p_2p_dn_295.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,295.0,-26.071044550925617,767787643.3946362,d;n;p
4He_p_2p_dn_30.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,30.0,-26.071044550925617,74243071052.87105,d;n;p
4He_p_2p_dn_300.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,300.0,-26.071044550925617,742382907.9171124,d;n;p
4He_p_2p_dn_305.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,305.0,-26.071044550925617,718269938.8574674,d;n;p
4He_p_2p_dn_310.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,310.0,-26.071044550925617,695257363.4504323,d;n;p
4He_p_2p_dn_315.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,315.0,-26.071044550925617,673345181.6975473,d;n;p
4He_p_2p_dn_320.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,320.0,-26.071044550925617,652485550.4101261,d;n;p
4He_p_2p_dn_325.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,325.0,-26.071044550925617,632582783.1689159,d;n;p
4He_p_2p_dn_330.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,330.0,-26.071044550925617,613541193.6666219,d;n;p
4He_p_2p_dn_335.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,335.0,-26.071044550925617,595360781.8715627,d;n;p
4He_p_2p_dn_340.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,340.0,-26.071044550925617,577993704.5952039,d;n;p
4He_p_2p_dn_345.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,345.0,-26.071044550925617,561344275.4576691,d;n;p
4He_p_2p_dn_35.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,35.0,-26.071044550925617,54546027572.12328,d;n;p
4He_p_2p_dn_350.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,350.0,-26.071044550925617,545412494.4624959,d;n;p
4He_p_2p_dn_355.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,355.0,-26.071044550925617,530150518.3914542,d;n;p
4He_p_2p_dn_360.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,360.0,-26.071044550925617,515558347.2512288,d;n;p
4He_p_2p_dn_365.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,365.0,-26.071044550925617,501492451.55654967,d;n;p
4He_p_2p_dn_370.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,370.0,-26.071044550925617,488048517.6388115,d;n;p
4He_p_2p_dn_375.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,375.0,-26.071044550925617,475111721.83986604,d;n;p
4He_p_2p_dn_380.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,380.0,-26.071044550925617,462691632.8020685,d;n;p
