source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
he4_p_he3_np_1,53.0,49.0,8.0,1.000
he4_p_he3_np_1,90.0,46.0,8.0,1.000
he4_p_he3_np_1,300.0,27.0,10.0,1.000
