input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2p_3H_280.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,280.0,-19.813814502830216,852230880.369278,p;t
4He_p_2p_3H_285.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,285.0,-19.813814502830216,822615943.2540873,p;t
4He_p_2p_3H_290.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,290.0,-19.813814502830216,794484145.290053,p;t
4He_p_2p_3H_295.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,295.0,-19.813814502830216,767787643.3946362,p;t
4He_p_2p_3H_30.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,30.0,-19.813814502830216,74243071052.87105,p;t
4He_p_2p_3H_300.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,300.0,-19.813814502830216,742382907.9171124,p;t
4He_p_2p_3H_305.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,305.0,-19.813814502830216,718269938.8574674,p;t
4He_p_2p_3H_310.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,310.0,-19.813814502830216,695257363.4504323,p;t
4He_p_2p_3H_315.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,315.0,-19.813814502830216,673345181.6975473,p;t
4He_p_2p_3H_320.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,320.0,-19.813814502830216,652485550.4101261,p;t
4He_p_2p_3H_325.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,325.0,-19.813814502830216,632582783.1689159,p;t
4He_p_2p_3H_330.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,330.0,-19.813814502830216,613541193.6666219,p;t
4He_p_2p_3H_335.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,335.0,-19.813814502830216,595360781.8715627,p;t
4He_p_2p_3H_340.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,340.0,-19.813814502830216,577993704.5952039,p;t
4He_p_2p_3H_345.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,345.0,-19.813814502830216,561344275.4576691,p;t
4He_p_2p_3H_35.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,35.0,-19.813814502830216,54546027572.12328,p;t
4He_p_2p_3H_350.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,350.0,-19.813814502830216,545412494.4624959,p;t
4He_p_2p_3H_355.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,355.0,-19.813814502830216,530150518.3914542,p;t
4He_p_2p_3H_360.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,360.0,-19.813814502830216,515558347.2512288,p;t
4He_p_2p_3H_365.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,365.0,-19.813814502830216,501492451.55654967,p;t
4He_p_2p_3H_370.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,370.0,-19.813814502830216,488048517.6388115,p;t
4He_p_2p_3H_375.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,375.0,-19.813814502830216,475111721.83986604,p;t
4He_p_2p_3H_380.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,380.0,-19.813814502830216,462691632.8020685,p;t
4He_p_2p_3H_385.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,385.0,-19.813814502830216,450749975.97522116,p;t
