input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2n_3p_280.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,280.0,-28.29561059421679,852230880.369278,n;p
4He_p_2n_3p_285.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,285.0,-28.29561059421679,822615943.2540873,n;p
4He_p_2n_3p_290.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,290.0,-28.29561059421679,794484145.290053,n;p
4He_p_2n_3p_295.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,295.0,-28.29561059421679,767787643.3946362,n;p
4He_p_2n_3p_30.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,30.0,-28.29561059421679,74243071052.87105,n;p
4He_p_2n_3p_300.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,300.0,-28.29561059421679,742382907.9171124,n;p
4He_p_2n_3p_305.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,305.0,-28.29561059421679,718269938.8574674,n;p
4He_p_2n_3p_310.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,310.0,-28.29561059421679,695257363.4504323,n;p
4He_p_2n_3p_315.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,315.0,-28.29561059421679,673345181.6975473,n;p
4He_p_2n_3p_320.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,320.0,-28.29561059421679,652485550.4101261,n;p
4He_p_2n_3p_325.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,325.0,-28.29561059421679,632582783.1689159,n;p
4He_p_2n_3p_330.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,330.0,-28.29561059421679,613541193.6666219,n;p
4He_p_2n_3p_335.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,335.0,-28.29561059421679,595360781.8715627,n;p
4He_p_2n_3p_340.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,340.0,-28.29561059421679,577993704.5952039,n;p
4He_p_2n_3p_345.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,345.0,-28.29561059421679,561344275.4576691,n;p
4He_p_2n_3p_35.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,35.0,-28.29561059421679,54546027572.12328,n;p
4He_p_2n_3p_350.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,350.0,-28.29561059421679,545412494.4624959,n;p
4He_p_2n_3p_355.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,355.0,-28.29561059421679,530150518.3914542,n;p
4He_p_2n_3p_360.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,360.0,-28.29561059421679,515558347.2512288,n;p
4He_p_2n_3p_365.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,365.0,-28.29561059421679,501492451.55654967,n;p
4He_p_2n_3p_370.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,370.0,-28.29561059421679,488048517.6388115,n;p
4He_p_2n_3p_375.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,375.0,-28.29561059421679,475111721.83986604,n;p
4He_p_2n_3p_380.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,380.0,-28.29561059421679,462691632.8020685,n;p
4He_p_2n_3p_385.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,385.0,-28.29561059421679,450749975.97522116,n;p
4He_p_2n_3p_390.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,390.0,-28.29561059421679,439262829.7668158,n;p
4He_p_2n_3p_395.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,395.0,-28.29561059421679,428211056.9030998,n;p
4He_p_2n_3p_40.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,40.0,-28.29561059421679,41760890481.207214,n;p
4He_p_2n_3p_400.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,400.0,-28.29561059421679,417570735.759918,n;p
4He_p_2n_3p_45.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,45.0,-28.29561059421679,32996495504.04227,n;p
4He_p_2n_3p_5.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,5.0,-28.29561059421679,2672712254153.871,n;p
4He_p_2n_3p_50.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,50.0,-28.29561059421679,26727123152.713642,n;p
4He_p_2n_3p_55.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,55.0,-28.29561059421679,22088246893.229992,n;p
4He_p_2n_3p_60.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,60.0,-28.29561059421679,18560289628.38658,n;p
4He_p_2n_3p_65.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,65.0,-28.29561059421679,15814568608.072664,n;p
4He_p_2n_3p_70.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,70.0,-28.29561059421679,13636267886.372364,n;p
4He_p_2n_3p_75.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,75.0,-28.29561059421679,11878508854.763765,n;p
4He_p_2n_3p_80.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,80.0,-28.29561059421679,10440342370.799965,n;p
4He_p_2n_3p_85.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,85.0,-28.29561059421679,9248089914.096245,n;p
4He_p_2n_3p_90.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,90.0,-28.29561059421679,8249123969.500779,n;p
4He_p_2n_3p_95.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,95.0,-28.29561059421679,7403734684.544547,n;p
