0.001 1.88e-07
0.002 0.00136
0.003 0.0982
0.004 1.44
0.005 9.71
0.006 41.3
0.007 131.0
0.008 339.0
0.009 756.0
0.01 1510.0
0.011 2750.0
0.012 4680.0
0.013 7520.0
0.014 11500.0
0.015 17000.0
0.016 24300.0
0.018 45500.0
0.02 78000.0
0.025 229000.0
0.03 518000.0
0.04 1700000.0
0.05 4020000.0
0.06 7970000.0
0.07 14100000.0
0.08 22900000.0
0.09 34300000.0
0.1 48100000.0
0.11 63800000.0
0.12 80900000.0
0.13 98600000.0
0.14 117000000.0
0.15 134000000.0
0.16 152000000.0
0.18 184000000.0
0.2 214000000.0
0.25 283000000.0
0.3 343000000.0
0.35 395000000.0
0.4 435000000.0
0.45 465000000.0
0.5 487000000.0
0.6 513000000.0
0.7 525000000.0
0.8 527000000.0
0.9 524000000.0
1.0 517000000.0
1.25 495000000.0
1.5 470000000.0
1.75 446000000.0
2.0 423000000.0
2.5 384000000.0
3.0 353000000.0
3.5 326000000.0
4.0 304000000.0
5.0 269000000.0
6.0 242000000.0
7.0 221000000.0
8.0 204000000.0
9.0 190000000.0
10.0 178000000.0
