input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_pn_3He_270.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,270.0,-20.57762124558692,14664896704.092524,he3;n;p
p_4He_pn_3He_275.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,275.0,-20.57762124558692,14136707828.473984,he3;n;p
p_4He_pn_3He_280.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,280.0,-20.57762124558692,13636268005.986797,he3;n;p
p_4He_pn_3He_285.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,285.0,-20.57762124558692,13162141940.793245,he3;n;p
p_4He_pn_3He_290.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,290.0,-20.57762124558692,12711937473.141233,he3;n;p
p_4He_pn_3He_295.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,295.0,-20.57762124558692,12284697739.11058,he3;n;p
p_4He_pn_3He_30.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,30.0,-20.57762124558692,1187898692605.014,he3;n;p
p_4He_pn_3He_300.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,300.0,-20.57762124558692,11878509010.920254,he3;n;p
p_4He_pn_3He_305.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,305.0,-20.57762124558692,11492414424.646564,he3;n;p
p_4He_pn_3He_310.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,310.0,-20.57762124558692,11124500252.512592,he3;n;p
p_4He_pn_3He_315.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,315.0,-20.57762124558692,10774288062.538805,he3;n;p
p_4He_pn_3He_320.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,320.0,-20.57762124558692,10440342558.890741,he3;n;p
p_4He_pn_3He_325.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,325.0,-20.57762124558692,10121228445.734787,he3;n;p
p_4He_pn_3He_330.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,330.0,-20.57762124558692,9816945723.039167,he3;n;p
p_4He_pn_3He_335.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,335.0,-20.57762124558692,9526059094.992294,he3;n;p
p_4He_pn_3He_340.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,340.0,-20.57762124558692,9248090129.58525,he3;n;p
p_4He_pn_3He_345.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,345.0,-20.57762124558692,8982081962.956556,he3;n;p
p_4He_pn_3He_35.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,35.0,-20.57762124558692,872707723001.3792,he3;n;p
p_4He_pn_3He_350.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,350.0,-20.57762124558692,8727077731.225899,he3;n;p
p_4He_pn_3He_355.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,355.0,-20.57762124558692,8483077434.351307,he3;n;p
p_4He_pn_3He_360.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,360.0,-20.57762124558692,8249124208.433868,he3;n;p
p_4He_pn_3He_365.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,365.0,-20.57762124558692,8024739621.560925,he3;n;p
p_4He_pn_3He_370.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,370.0,-20.57762124558692,7808966809.814878,he3;n;p
p_4He_pn_3He_375.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,375.0,-20.57762124558692,7602284205.096512,he3;n;p
p_4He_pn_3He_380.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,380.0,-20.57762124558692,7403734943.576583,he3;n;p
p_4He_pn_3He_385.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,385.0,-20.57762124558692,7212362161.30342,he3;n;p
p_4He_pn_3He_390.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,390.0,-20.57762124558692,7028644290.280034,he3;n;p
p_4He_pn_3He_395.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,395.0,-20.57762124558692,6852102898.489763,he3;n;p
p_4He_pn_3He_40.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,40.0,-20.57762124558692,668178063767.0795,he3;n;p
p_4He_pn_3He_400.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,400.0,-20.57762124558692,6681781122.092537,he3;n;p
p_4He_pn_3He_45.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,45.0,-20.57762124558692,527949658804.59595,he3;n;p
p_4He_pn_3He_5.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,5.0,-20.57762124558692,42763683127484.81,he3;n;p
p_4He_pn_3He_50.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,50.0,-20.57762124558692,427636831549.2443,he3;n;p
p_4He_pn_3He_55.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,55.0,-20.57762124558692,353417682925.2937,he3;n;p
p_4He_pn_3He_60.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,60.0,-20.57762124558692,296967496978.90765,he3;n;p
p_4He_pn_3He_65.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,65.0,-20.57762124558692,253037875203.5996,he3;n;p
p_4He_pn_3He_70.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,70.0,-20.57762124558692,218179323229.6919,he3;n;p
p_4He_pn_3He_75.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,75.0,-20.57762124558692,190061877453.02713,he3;n;p
p_4He_pn_3He_80.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,80.0,-20.57762124558692,167044516279.99286,he3;n;p
p_4He_pn_3He_85.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,85.0,-20.57762124558692,147969434387.36057,he3;n;p
p_4He_pn_3He_90.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,90.0,-20.57762124558692,131985022900.89409,he3;n;p
p_4He_pn_3He_95.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,95.0,-20.57762124558692,118459751644.13315,he3;n;p
